Width,Height,Eccentricity,Moore Length,Slopes,DirectionSum,Y
16,29,0.551724,104,4,40,2
18,29,0.620690,96,2,34,6
16,29,0.551724,115,5,47,5
5,29,0.172414,64,0,12,1
18,29,0.620690,109,4,40,2
17,29,0.586207,95,3,37,6
17,29,0.586207,121,5,45,5
5,29,0.172414,62,0,12,1
16,29,0.551724,104,4,40,2
17,29,0.586207,96,2,34,6
15,29,0.517241,110,6,52,5
6,29,0.206897,63,0,12,1
16,29,0.551724,104,4,40,2
17,29,0.586207,99,2,34,6
17,29,0.586207,119,5,45,5
5,29,0.172414,63,0,12,1
18,29,0.620690,114,4,44,2
17,29,0.586207,95,2,34,6
18,29,0.620690,121,5,47,5
5,29,0.172414,64,0,12,1
18,29,0.620690,109,4,44,2
17,29,0.586207,96,2,34,6
18,29,0.620690,120,5,47,5
5,29,0.172414,62,1,19,1
6,29,0.206897,66,0,12,1
23,29,0.793103,98,5,47,7
16,29,0.551724,103,4,40,2
18,29,0.620690,95,3,37,6
16,28,0.571429,111,6,50,5
5,29,0.172414,63,0,12,1
18,29,0.620690,109,4,40,2
18,29,0.620690,98,2,30,6
16,29,0.551724,116,5,47,5
5,29,0.172414,62,1,19,1
18,29,0.620690,109,4,44,2
18,29,0.620690,98,2,30,6
16,29,0.551724,114,5,45,5
5,29,0.172414,62,1,19,1
16,29,0.551724,105,4,40,2
18,29,0.620690,97,2,34,6
16,29,0.551724,113,5,45,5
5,29,0.172414,63,0,12,1
18,29,0.620690,111,4,40,2
16,29,0.551724,94,2,34,6
16,29,0.551724,114,5,45,5
5,29,0.172414,63,0,12,1
18,29,0.620690,112,4,40,2
18,29,0.620690,100,2,34,6
18,29,0.620690,119,5,45,5
5,29,0.172414,63,0,12,1
18,29,0.620690,110,4,44,2
18,29,0.620690,101,2,34,6
16,29,0.551724,114,5,45,5
5,29,0.172414,62,0,12,1
18,29,0.620690,108,4,44,2
20,29,0.689655,105,0,12,6
16,29,0.551724,113,5,47,5
6,29,0.206897,65,0,12,1
16,29,0.551724,106,4,40,2
18,29,0.620690,99,2,30,6
16,29,0.551724,116,5,45,5
5,29,0.172414,63,0,12,1
18,29,0.620690,113,4,44,2
16,29,0.551724,93,4,42,6
16,29,0.551724,113,5,45,5
5,29,0.172414,63,0,12,1
18,29,0.620690,111,4,40,2
20,29,0.689655,102,0,12,6
16,29,0.551724,114,5,45,5
5,29,0.172414,63,0,12,1
16,29,0.551724,103,4,40,2
18,29,0.620690,99,2,34,6
16,29,0.551724,113,5,45,5
